case_tag,seed,model_mix,frag,load,nrack,workload,status,run_dir
spread0ms_seed42,42,"4L,3M,3S",0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_80tor/start_spread/batch_20260422_200323_start_spread/spread0ms/seed_42
spread0ms_seed43,43,"4L,3M,3S",0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_80tor/start_spread/batch_20260422_200323_start_spread/spread0ms/seed_43
spread0ms_seed44,44,"4L,3M,3S",0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_80tor/start_spread/batch_20260422_200323_start_spread/spread0ms/seed_44
spread0ms_seed45,45,"4L,3M,3S",0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_80tor/start_spread/batch_20260422_200323_start_spread/spread0ms/seed_45
spread0ms_seed46,46,"4L,3M,3S",0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_80tor/start_spread/batch_20260422_200323_start_spread/spread0ms/seed_46
spread0ms_seed47,47,"4L,3M,3S",0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_80tor/start_spread/batch_20260422_200323_start_spread/spread0ms/seed_47
spread0ms_seed48,48,"4L,3M,3S",0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_80tor/start_spread/batch_20260422_200323_start_spread/spread0ms/seed_48
spread0ms_seed49,49,"4L,3M,3S",0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_80tor/start_spread/batch_20260422_200323_start_spread/spread0ms/seed_49
spread0ms_seed50,50,"4L,3M,3S",0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_80tor/start_spread/batch_20260422_200323_start_spread/spread0ms/seed_50
spread0ms_seed51,51,"4L,3M,3S",0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_80tor/start_spread/batch_20260422_200323_start_spread/spread0ms/seed_51
spread100ms_seed42,42,"4L,3M,3S",0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_80tor/start_spread/batch_20260422_200323_start_spread/spread100ms/seed_42
spread100ms_seed43,43,"4L,3M,3S",0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_80tor/start_spread/batch_20260422_200323_start_spread/spread100ms/seed_43
spread100ms_seed44,44,"4L,3M,3S",0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_80tor/start_spread/batch_20260422_200323_start_spread/spread100ms/seed_44
spread100ms_seed45,45,"4L,3M,3S",0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_80tor/start_spread/batch_20260422_200323_start_spread/spread100ms/seed_45
spread100ms_seed46,46,"4L,3M,3S",0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_80tor/start_spread/batch_20260422_200323_start_spread/spread100ms/seed_46
spread100ms_seed47,47,"4L,3M,3S",0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_80tor/start_spread/batch_20260422_200323_start_spread/spread100ms/seed_47
spread100ms_seed48,48,"4L,3M,3S",0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_80tor/start_spread/batch_20260422_200323_start_spread/spread100ms/seed_48
spread100ms_seed49,49,"4L,3M,3S",0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_80tor/start_spread/batch_20260422_200323_start_spread/spread100ms/seed_49
spread100ms_seed50,50,"4L,3M,3S",0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_80tor/start_spread/batch_20260422_200323_start_spread/spread100ms/seed_50
spread100ms_seed51,51,"4L,3M,3S",0.5,0.5,80,/home/xuheng/hyacinth/traffic_gene/flow_distr/fbcoco.csv,ok,/home/xuheng/Desktop/ToN2026/hyacinth/experiments/expe_logs_10round_80tor/start_spread/batch_20260422_200323_start_spread/spread100ms/seed_51
